method,seed,psl_db,score_type,updates
admm,95000,-45.19609451293945,GPU_float32,7168
admm,95001,-45.43199157714844,GPU_float32,7168
admm,95002,-44.62059020996094,GPU_float32,7168
admm,95003,-45.137779235839844,GPU_float32,7168
admm,95004,-45.3238639831543,GPU_float32,7168
admm,95005,-46.081085205078125,GPU_float32,7168
admm,95006,-46.85837173461914,GPU_float32,7168
admm,95007,-46.484317779541016,GPU_float32,7168
aiso,95000,-46.568634033203125,GPU_float32,7168
aiso,95001,-46.387306213378906,GPU_float32,7168
aiso,95002,-45.85743713378906,GPU_float32,7168
aiso,95003,-46.57973861694336,GPU_float32,7168
aiso,95004,-45.77354049682617,GPU_float32,7168
aiso,95005,-46.17543029785156,GPU_float32,7168
aiso,95006,-46.1466064453125,GPU_float32,7168
aiso,95007,-46.3344612121582,GPU_float32,7168
qgd,95000,-45.92481231689453,GPU_float32,7168
qgd,95001,-45.20426940917969,GPU_float32,7168
qgd,95002,-45.7294807434082,GPU_float32,7168
qgd,95003,-45.18510818481445,GPU_float32,7168
qgd,95004,-45.962318420410156,GPU_float32,7168
qgd,95005,-45.644676208496094,GPU_float32,7168
qgd,95006,-46.46791076660156,GPU_float32,7168
qgd,95007,-45.8463134765625,GPU_float32,7168
wavenet,95000,-42.927917080242686,CPU_complex128,5000
wavenet,95001,-41.006491926451446,CPU_complex128,3500
wavenet,95002,-39.75465947340565,CPU_complex128,2400
wavenet,95003,-43.06890008137627,CPU_complex128,5500
wavenet,95004,-38.68458058537775,CPU_complex128,2400
wavenet,95005,-42.25274510573548,CPU_complex128,2700
wavenet,95006,-39.59030441124794,CPU_complex128,2800
wavenet,95007,-43.85430341717353,CPU_complex128,6600
consensus,1860028,-48.57260027216582,CPU_complex128,7168
mal,95000,-47.86572265625,GPU_float32,4368
