variant,seed,psl_db_float64,psl_db_torch,reference_error_db,modulus_error,median_ms,repeats_ms
constant4_tuned,1860000,-52.94059033683907,-52.940574645996094,1.5690842978699493e-05,2.0768442998697623e-07,74.77043151855469,"[74.45891571044922, 76.04121398925781, 74.67926025390625, 76.43734741210938, 74.77043151855469]"
constant4_tuned,1860001,-51.73198411264668,-51.73198318481445,9.278322252725957e-07,2.2112370556826022e-07,75.04790496826172,"[75.24124908447266, 75.20636749267578, 75.04486083984375, 75.04790496826172, 74.97523498535156]"
constant4_tuned,1860002,-49.674735304156805,-49.67472839355469,6.910602117216058e-06,1.8129674173028576e-07,75.3807373046875,"[75.3807373046875, 74.74278259277344, 75.41145324707031, 74.85440063476562, 75.7923812866211]"
constant4_tuned,1860003,-51.181621518281815,-51.181617736816406,3.7814654092471756e-06,1.77849050819745e-07,75.46060943603516,"[75.82617950439453, 74.70796966552734, 75.46060943603516, 74.59295654296875, 75.49542236328125]"
constant4_tuned,1860004,-49.65097612533047,-49.650970458984375,5.666346098109898e-06,2.1356219681578636e-07,75.29151916503906,"[75.79545593261719, 74.57164764404297, 75.29151916503906, 75.17798614501953, 75.45855712890625]"
constant4_tuned,1860005,-51.41439623515946,-51.41438293457031,1.330058914561505e-05,2.0049062277038843e-07,75.14793395996094,"[75.14793395996094, 75.20665740966797, 74.51545715332031, 75.69407653808594, 74.81037139892578]"
constant4_tuned,1860006,-53.36614542787515,-53.366127014160156,1.8413714997222996e-05,2.068041148328703e-07,74.89311981201172,"[74.89311981201172, 75.74630737304688, 74.355712890625, 75.74211120605469, 74.87385559082031]"
constant4_tuned,1860007,-51.92964193603185,-51.92962646484375,1.547118809952508e-05,2.3687806938177403e-07,75.35702514648438,"[75.30290985107422, 75.35702514648438, 75.97567749023438, 75.37356567382812, 75.325439453125]"
constant4_tuned,1860008,-51.911936842360554,-51.91194534301758,8.500657024512748e-06,2.070561480049804e-07,75.05712127685547,"[75.05712127685547, 75.02745819091797, 75.03564453125, 75.19734191894531, 75.08163452148438]"
constant4_tuned,1860009,-51.22148184463803,-51.221458435058594,2.3409579434030547e-05,2.1313306763914852e-07,74.86332702636719,"[74.68544006347656, 75.53616333007812, 74.86332702636719, 75.34591674804688, 74.82434844970703]"
constant4_tuned,1860010,-51.65727282346925,-51.657264709472656,8.113996592840067e-06,2.1586081522251277e-07,75.2168960571289,"[75.2168960571289, 75.60908508300781, 74.5512924194336, 75.92550659179688, 75.03462219238281]"
constant4_tuned,1860011,-52.097611371361445,-52.09758758544922,2.3785912226514938e-05,1.8547946600833143e-07,75.38380432128906,"[75.0844497680664, 75.77702331542969, 74.56534576416016, 75.38380432128906, 76.31871795654297]"
constant4_tuned,1860012,-51.34703233628023,-51.34703063964844,1.6966317915034779e-06,1.6180178197267026e-07,74.78067016601562,"[74.60966491699219, 75.79750061035156, 74.6884765625, 75.6316146850586, 74.78067016601562]"
constant4_tuned,1860013,-49.800287067960916,-49.80028533935547,1.7286054472265278e-06,2.1471456235211406e-07,75.78931427001953,"[76.84505462646484, 75.81593322753906, 75.49951934814453, 75.08582305908203, 75.78931427001953]"
constant4_tuned,1860014,-50.14887095835155,-50.14886474609375,6.212257801507803e-06,2.463421946430344e-07,75.4524154663086,"[75.45753479003906, 75.3222427368164, 75.4524154663086, 77.02204895019531, 74.70899200439453]"
constant4_tuned,1860015,-50.66558736096315,-50.66556930541992,1.805554322942271e-05,2.152606506378163e-07,75.24227142333984,"[74.91983795166016, 75.28243255615234, 75.24227142333984, 74.81446075439453, 75.67667388916016]"
constant4_tuned,1860016,-50.20650950969109,-50.206520080566406,1.057087531819434e-05,1.9109216342627633e-07,75.43379211425781,"[74.71820831298828, 75.43379211425781, 75.92342376708984, 75.33363342285156, 75.85177612304688]"
constant4_tuned,1860017,-52.356540403708024,-52.35653305053711,7.353170914825569e-06,1.9769236203615037e-07,75.30598449707031,"[74.36799621582031, 75.90502166748047, 75.23299407958984, 75.93062591552734, 75.30598449707031]"
constant4_tuned,1860018,-50.62720550156985,-50.6272087097168,3.2081469498734805e-06,2.1687146434246074e-07,75.23942565917969,"[75.3100814819336, 75.23942565917969, 74.88102722167969, 74.92915344238281, 75.63980865478516]"
constant4_tuned,1860019,-51.707509499633424,-51.707496643066406,1.285656701810467e-05,2.1114195369875688e-07,75.16876983642578,"[74.8141098022461, 74.69055938720703, 75.81798553466797, 75.16876983642578, 75.61920166015625]"
constant4_tuned,1860020,-52.25223489817101,-52.252227783203125,7.114967885968326e-06,1.704434438032365e-07,74.99161529541016,"[74.24205017089844, 74.7294692993164, 75.01107025146484, 75.82412719726562, 74.99161529541016]"
constant4_tuned,1860021,-49.31689339065193,-49.31689453125,1.140598072879584e-06,2.670439904761679e-07,75.20665740966797,"[74.77657318115234, 75.20665740966797, 76.05219268798828, 75.11961364746094, 75.89376068115234]"
constant4_tuned,1860022,-51.94995383868998,-51.94994354248047,1.0296209509874643e-05,2.1339559019839527e-07,75.20051574707031,"[75.20051574707031, 75.95724487304688, 74.4110107421875, 76.02684783935547, 75.04998779296875]"
constant4_tuned,1860023,-51.79827019939094,-51.798255920410156,1.4278980785320528e-05,1.8958973069249652e-07,76.6719970703125,"[76.05145263671875, 76.6719970703125, 75.89884948730469, 76.9771499633789, 76.67711639404297]"
constant4_tuned,1860024,-48.53474789888617,-48.53474426269531,3.636190854194865e-06,2.2893652606992276e-07,76.33071899414062,"[77.053955078125, 75.72444915771484, 77.5626220703125, 76.0040283203125, 76.33071899414062]"
constant4_tuned,1860025,-51.21350244735766,-51.21347427368164,2.8173676021481242e-05,1.904998003787739e-07,76.2234878540039,"[76.2234878540039, 75.85049438476562, 75.97977447509766, 76.83071899414062, 76.5132827758789]"
constant4_tuned,1860026,-51.8326574960124,-51.8326416015625,1.5894449902020824e-05,2.0803387101864246e-07,76.67810821533203,"[77.33657836914062, 76.30643463134766, 77.02301025390625, 76.474365234375, 76.67810821533203]"
constant4_tuned,1860027,-51.020740456673636,-51.0207405090332,5.235956734850333e-08,1.7442437283410328e-07,75.22303771972656,"[74.70285034179688, 75.84563446044922, 75.22303771972656, 75.68476867675781, 75.03667449951172]"
